symbol,open,high,low,close,volume,year,month,day
CRYPTO:DOTUSD,4.303,4.3871,4.2749,4.3688,0.0,2023,1,1
CRYPTO:DOTUSD,4.3688,4.53,4.3186,4.4874,0.0,2023,1,2
CRYPTO:DOTUSD,4.4874,4.5411,4.4661,4.527,0.0,2023,1,3
CRYPTO:DOTUSD,4.5267,4.6829,4.5267,4.6329,0.0,2023,1,4
CRYPTO:DOTUSD,4.6325,4.6471,4.5445,4.617,0.0,2023,1,5
CRYPTO:DOTUSD,4.6167,4.7015,4.5532,4.6867,0.0,2023,1,6
CRYPTO:DOTUSD,4.6845,4.7028,4.6378,4.6651,0.0,2023,1,7
CRYPTO:DOTUSD,4.6653,4.8245,4.6057,4.8245,0.0,2023,1,8
CRYPTO:DOTUSD,4.8242,5.0752,4.802,4.8928,0.0,2023,1,9
CRYPTO:DOTUSD,4.8931,4.9685,4.8263,4.9151,0.0,2023,1,10
CRYPTO:DOTUSD,4.9146,5.1385,4.8302,5.1333,0.0,2023,1,11
CRYPTO:DOTUSD,5.1333,5.2555,5.0236,5.2293,0.0,2023,1,12
CRYPTO:DOTUSD,5.2285,5.4197,5.1661,5.4001,0.0,2023,1,13
CRYPTO:DOTUSD,5.3995,6.4997,5.3991,6.0239,0.0,2023,1,14
CRYPTO:DOTUSD,6.0239,6.0663,5.7762,5.9268,0.0,2023,1,15
CRYPTO:DOTUSD,5.9266,6.0798,5.6138,5.8083,0.0,2023,1,16
CRYPTO:DOTUSD,5.8083,6.2027,5.6999,5.9537,0.0,2023,1,17
CRYPTO:DOTUSD,5.9538,6.212,5.5959,5.6491,0.0,2023,1,18
CRYPTO:DOTUSD,5.6469,5.8371,5.6466,5.809,0.0,2023,1,19
CRYPTO:DOTUSD,5.8088,6.2915,5.7563,6.2527,0.0,2023,1,20
CRYPTO:DOTUSD,6.2532,6.4638,6.0218,6.2396,0.0,2023,1,21
CRYPTO:DOTUSD,6.2396,6.452,6.0913,6.2121,0.0,2023,1,22
CRYPTO:DOTUSD,6.2111,6.8191,6.2044,6.5606,0.0,2023,1,23
CRYPTO:DOTUSD,6.5606,6.7066,6.1231,6.19,0.0,2023,1,24
CRYPTO:DOTUSD,6.1905,6.5581,6.0173,6.3984,0.0,2023,1,25
CRYPTO:DOTUSD,6.3997,6.5561,6.3097,6.4769,0.0,2023,1,26
CRYPTO:DOTUSD,6.4771,6.6214,6.2856,6.5817,0.0,2023,1,27
CRYPTO:DOTUSD,6.5842,6.659,6.3279,6.4001,0.0,2023,1,28
CRYPTO:DOTUSD,6.4001,6.6977,6.3347,6.6087,0.0,2023,1,29
CRYPTO:DOTUSD,6.6114,6.6504,6.0554,6.1881,0.0,2023,1,30
CRYPTO:DOTUSD,6.1883,6.3168,6.1476,6.2653,0.0,2023,1,31
CRYPTO:DOTUSD,6.265,6.4879,6.0345,6.4653,0.0,2023,2,1
CRYPTO:DOTUSD,6.4655,6.9062,6.4564,6.5407,0.0,2023,2,2
CRYPTO:DOTUSD,6.5428,7.1223,6.5133,7.0125,0.0,2023,2,3
CRYPTO:DOTUSD,7.0125,7.07,6.8253,6.8745,0.0,2023,2,4
CRYPTO:DOTUSD,6.8745,6.8918,6.5213,6.6455,0.0,2023,2,5
CRYPTO:DOTUSD,6.6455,6.7903,6.4301,6.4956,0.0,2023,2,6
CRYPTO:DOTUSD,6.4948,6.9472,6.4765,6.9376,0.0,2023,2,7
CRYPTO:DOTUSD,6.937,7.0125,6.6218,6.7519,0.0,2023,2,8
CRYPTO:DOTUSD,6.7541,6.9764,6.1061,6.2366,0.0,2023,2,9
CRYPTO:DOTUSD,6.2366,6.3065,6.1202,6.1908,0.0,2023,2,10
CRYPTO:DOTUSD,6.1901,6.2908,6.1593,6.2778,0.0,2023,2,11
CRYPTO:DOTUSD,6.2778,6.3796,6.0779,6.1797,0.0,2023,2,12
CRYPTO:DOTUSD,6.1795,6.2411,5.8878,6.1454,0.0,2023,2,13
CRYPTO:DOTUSD,6.145,6.2617,6.0188,6.2277,0.0,2023,2,14
CRYPTO:DOTUSD,6.228,6.6172,6.1631,6.6137,0.0,2023,2,15
CRYPTO:DOTUSD,6.6147,6.7362,6.3246,6.3271,0.0,2023,2,16
CRYPTO:DOTUSD,6.3273,7.4148,6.2945,7.2879,0.0,2023,2,17
CRYPTO:DOTUSD,7.2879,7.3676,7.1182,7.2346,0.0,2023,2,18
CRYPTO:DOTUSD,7.2353,7.8884,7.1905,7.4514,0.0,2023,2,19
CRYPTO:DOTUSD,7.4514,7.5639,7.253,7.5441,0.0,2023,2,20
CRYPTO:DOTUSD,7.5439,7.5662,7.1216,7.2518,0.0,2023,2,21
CRYPTO:DOTUSD,7.2521,7.2644,6.8853,7.1853,0.0,2023,2,22
CRYPTO:DOTUSD,7.1855,7.3798,7.017,7.0945,0.0,2023,2,23
CRYPTO:DOTUSD,7.0958,7.1371,6.4756,6.6125,0.0,2023,2,24
CRYPTO:DOTUSD,6.6155,6.6481,6.3457,6.5448,0.0,2023,2,25
CRYPTO:DOTUSD,6.5448,6.7273,6.5046,6.6914,0.0,2023,2,26
CRYPTO:DOTUSD,6.6889,6.7795,6.4964,6.5817,0.0,2023,2,27
CRYPTO:DOTUSD,6.5815,6.5918,6.281,6.3443,0.0,2023,2,28
CRYPTO:DOTUSD,6.3443,6.5913,6.3194,6.5339,0.0,2023,3,1
CRYPTO:DOTUSD,6.5341,6.555,6.2277,6.3315,0.0,2023,3,2
CRYPTO:DOTUSD,6.3315,6.3345,5.796,6.0325,0.0,2023,3,3
CRYPTO:DOTUSD,6.0345,6.0537,5.7853,5.9144,0.0,2023,3,4
CRYPTO:DOTUSD,5.9139,6.0595,5.893,5.9807,0.0,2023,3,5
CRYPTO:DOTUSD,5.9809,6.041,5.8654,5.9197,0.0,2023,3,6
CRYPTO:DOTUSD,5.9197,6.0131,5.7454,5.845,0.0,2023,3,7
CRYPTO:DOTUSD,5.8447,5.9334,5.5015,5.5985,0.0,2023,3,8
CRYPTO:DOTUSD,5.5986,5.7967,5.2493,5.3742,0.0,2023,3,9
CRYPTO:DOTUSD,5.3749,5.5988,5.1504,5.5644,0.0,2023,3,10
CRYPTO:DOTUSD,5.5639,5.7375,5.2926,5.514,0.0,2023,3,11
CRYPTO:DOTUSD,5.5143,5.9421,5.4364,5.9417,0.0,2023,3,12
CRYPTO:DOTUSD,5.9447,6.167,5.719,6.1224,0.0,2023,3,13
CRYPTO:DOTUSD,6.1224,6.5584,6.0226,6.2455,0.0,2023,3,14
CRYPTO:DOTUSD,6.2442,6.3931,5.7963,5.8964,0.0,2023,3,15
CRYPTO:DOTUSD,5.8964,6.1536,5.7908,6.0977,0.0,2023,3,16
CRYPTO:DOTUSD,6.0974,6.6426,6.0394,6.6387,0.0,2023,3,17
CRYPTO:DOTUSD,6.6362,6.7133,6.3032,6.323,0.0,2023,3,18
CRYPTO:DOTUSD,6.3256,6.6155,6.3256,6.466,0.0,2023,3,19
CRYPTO:DOTUSD,6.4662,6.4998,6.0725,6.1102,0.0,2023,3,20
CRYPTO:DOTUSD,6.1075,6.4673,6.0223,6.3866,0.0,2023,3,21
CRYPTO:DOTUSD,6.3866,6.3946,5.9314,6.0678,0.0,2023,3,22
CRYPTO:DOTUSD,6.0656,6.4298,6.011,6.3298,0.0,2023,3,23
CRYPTO:DOTUSD,6.3295,6.3477,5.9624,6.0258,0.0,2023,3,24
CRYPTO:DOTUSD,6.0255,6.0839,5.8421,5.9083,0.0,2023,3,25
CRYPTO:DOTUSD,5.9083,6.1125,5.8865,6.055,0.0,2023,3,26
CRYPTO:DOTUSD,6.055,6.1143,5.752,5.8739,0.0,2023,3,27
CRYPTO:DOTUSD,5.869,6.1101,5.7945,6.0589,0.0,2023,3,28
CRYPTO:DOTUSD,6.0594,6.2801,6.0517,6.1855,0.0,2023,3,29
CRYPTO:DOTUSD,6.1855,6.2924,6.0316,6.12,0.0,2023,3,30
CRYPTO:DOTUSD,6.12,6.383,6.1046,6.3443,0.0,2023,3,31
CRYPTO:DOTUSD,6.3442,6.3926,6.1998,6.3505,0.0,2023,4,1
CRYPTO:DOTUSD,6.3508,6.4443,6.1869,6.2688,0.0,2023,4,2
CRYPTO:DOTUSD,6.2658,6.5011,6.1004,6.4262,0.0,2023,4,3
CRYPTO:DOTUSD,6.4213,6.5325,6.3668,6.4421,0.0,2023,4,4
CRYPTO:DOTUSD,6.4421,6.5877,6.3271,6.4091,0.0,2023,4,5
CRYPTO:DOTUSD,6.4091,6.4147,6.2627,6.2813,0.0,2023,4,6
CRYPTO:DOTUSD,6.2808,6.3195,6.1434,6.1826,0.0,2023,4,7
CRYPTO:DOTUSD,6.1827,6.2349,6.0998,6.1338,0.0,2023,4,8
CRYPTO:DOTUSD,6.1338,6.2606,6.103,6.214,0.0,2023,4,9
CRYPTO:DOTUSD,6.2139,6.3139,6.1229,6.292,0.0,2023,4,10
CRYPTO:DOTUSD,6.292,6.4952,6.2803,6.4232,0.0,2023,4,11
CRYPTO:DOTUSD,6.4257,6.4734,6.2206,6.4079,0.0,2023,4,12
CRYPTO:DOTUSD,6.4086,6.6548,6.3527,6.6427,0.0,2023,4,13
CRYPTO:DOTUSD,6.6429,6.8412,6.5496,6.7416,0.0,2023,4,14
