symbol,open,high,low,close,volume,year,month,day
CRYPTO:SHIBUSD,1.03572e-05,1.06971e-05,1.02168e-05,1.06771e-05,0.0,2024,1,1
CRYPTO:SHIBUSD,1.06771e-05,1.09214e-05,1.04716e-05,1.05605e-05,0.0,2024,1,2
CRYPTO:SHIBUSD,1.05605e-05,1.06626e-05,8.3542e-06,9.5707e-06,0.0,2024,1,3
CRYPTO:SHIBUSD,9.5707e-06,1.01344e-05,9.4331e-06,9.9961e-06,0.0,2024,1,4
CRYPTO:SHIBUSD,9.9962e-06,1.00961e-05,9.4437e-06,9.8231e-06,0.0,2024,1,5
CRYPTO:SHIBUSD,9.8231e-06,9.8357e-06,9.3285e-06,9.614e-06,0.0,2024,1,6
CRYPTO:SHIBUSD,9.614e-06,9.6828e-06,8.9414e-06,9.0238e-06,0.0,2024,1,7
CRYPTO:SHIBUSD,9.0237e-06,9.595e-06,8.5039e-06,9.5857e-06,0.0,2024,1,8
CRYPTO:SHIBUSD,9.5857e-06,1.00059e-05,9.1094e-06,9.6742e-06,0.0,2024,1,9
CRYPTO:SHIBUSD,9.6736e-06,1.01617e-05,9.1279e-06,9.981e-06,0.0,2024,1,10
CRYPTO:SHIBUSD,9.9813e-06,1.04987e-05,9.8631e-06,1.0153e-05,0.0,2024,1,11
CRYPTO:SHIBUSD,1.01531e-05,1.02934e-05,9.3537e-06,9.6351e-06,0.0,2024,1,12
CRYPTO:SHIBUSD,9.6379e-06,1.00493e-05,9.4157e-06,9.8766e-06,0.0,2024,1,13
CRYPTO:SHIBUSD,9.8766e-06,1.004e-05,9.535e-06,9.5696e-06,0.0,2024,1,14
CRYPTO:SHIBUSD,9.5693e-06,9.752e-06,9.485e-06,9.5322e-06,0.0,2024,1,15
CRYPTO:SHIBUSD,9.5322e-06,9.7361e-06,9.4221e-06,9.6625e-06,0.0,2024,1,16
CRYPTO:SHIBUSD,9.6625e-06,9.7169e-06,9.3888e-06,9.5252e-06,0.0,2024,1,17
CRYPTO:SHIBUSD,9.5248e-06,9.553e-06,8.9647e-06,9.2006e-06,0.0,2024,1,18
CRYPTO:SHIBUSD,9.2006e-06,9.3809e-06,8.7925e-06,9.3005e-06,0.0,2024,1,19
CRYPTO:SHIBUSD,9.3005e-06,9.8399e-06,9.2619e-06,9.6814e-06,0.0,2024,1,20
CRYPTO:SHIBUSD,9.6814e-06,9.7292e-06,9.3269e-06,9.3399e-06,0.0,2024,1,21
CRYPTO:SHIBUSD,9.3393e-06,9.3726e-06,8.8648e-06,8.9213e-06,0.0,2024,1,22
CRYPTO:SHIBUSD,8.9213e-06,9.0552e-06,8.43e-06,8.8218e-06,0.0,2024,1,23
CRYPTO:SHIBUSD,8.8218e-06,8.9925e-06,8.7389e-06,8.8935e-06,0.0,2024,1,24
CRYPTO:SHIBUSD,8.8935e-06,8.9206e-06,8.7235e-06,8.8628e-06,0.0,2024,1,25
CRYPTO:SHIBUSD,8.8628e-06,9.1277e-06,8.7858e-06,9.0358e-06,0.0,2024,1,26
CRYPTO:SHIBUSD,9.0358e-06,9.2159e-06,8.9759e-06,9.1275e-06,0.0,2024,1,27
CRYPTO:SHIBUSD,9.1275e-06,9.2494e-06,8.9145e-06,9.0044e-06,0.0,2024,1,28
CRYPTO:SHIBUSD,9.0045e-06,9.2696e-06,8.9247e-06,9.2013e-06,0.0,2024,1,29
CRYPTO:SHIBUSD,9.201e-06,9.4518e-06,9.018e-06,9.048e-06,0.0,2024,1,30
CRYPTO:SHIBUSD,9.048e-06,9.137e-06,8.859e-06,8.945e-06,0.0,2024,1,31
CRYPTO:SHIBUSD,8.945e-06,9.043e-06,8.794e-06,9.023e-06,0.0,2024,2,1
CRYPTO:SHIBUSD,9.023e-06,9.106e-06,8.93e-06,9.075e-06,0.0,2024,2,2
CRYPTO:SHIBUSD,9.075e-06,9.154e-06,9.011e-06,9.105e-06,0.0,2024,2,3
CRYPTO:SHIBUSD,9.105e-06,9.136e-06,8.857e-06,8.897e-06,0.0,2024,2,4
CRYPTO:SHIBUSD,8.897e-06,9.035e-06,8.783e-06,8.905e-06,0.0,2024,2,5
CRYPTO:SHIBUSD,8.905e-06,8.939e-06,8.818e-06,8.856e-06,0.0,2024,2,6
CRYPTO:SHIBUSD,8.856e-06,9.087e-06,8.806e-06,9.062e-06,0.0,2024,2,7
CRYPTO:SHIBUSD,9.062e-06,9.374e-06,9.04e-06,9.211e-06,0.0,2024,2,8
CRYPTO:SHIBUSD,9.211e-06,9.467e-06,9.211e-06,9.391e-06,0.0,2024,2,9
CRYPTO:SHIBUSD,9.391e-06,9.51e-06,9.242e-06,9.414e-06,0.0,2024,2,10
